Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
Shampoo DOVE Ritual de Reparación Coco y Cúrcuma 180 ml,"Si estás buscando una respuesta para reparar tu pelo, descubrí los secretos de las mujeres de la India. Shampoo Dove Ritual de Reparación Coco y Cúrcuma, fue inspirado en los rituales de la India para tratar el cabello dañado con aceite de coco y cúrcuma: ricos ingredientes conocidos por sus propiedades reparadoras. La línea Dove Ritual de Reparación revela los secretos de un cabello más fuerte y resistente a los daños. Está inspirado en rituales de belleza de mujeres de la India donde su fórmula que nutre, suaviza y limpia el cabello ayuda a conseguir más fuerza y con mayor suavidad. Los productos para el pelo que estás necesitando. Los shampoos Dove Ritual fueron creados para un cuidado superior; fue pensado para liberar a las mujeres de las ansiedades y frustraciones que sienten cuando tratan a su pelo dañado. Repara visiblemente los signos superficiales del desgaste, daños, puntas abiertas y pelo teñido. Para un resultado más óptimo masajear sobre el cabello mojado y enjuagar. Si es necesario aplicar nuevamente. Para conseguir un mejor efecto en el pelo usar toda la línea de champú Dove Ritual de Reparación y completarás el tratamiento reparador que te ayudará a tener un pelo más fuerte y resistente al daño. Apto para: pelo corto, pelo largo y cabello teñido. Es para uso diario.",/Perfumería/Cuidado Capilar/Shampoo/,211.99,211.99,https://www.hiperlibertad.com.ar/shampoo-dove-ritual-de-reparacion-coco-y-curcuma-180-ml/p,3,452033
JUGO PETIT NARANJA X 1LT,JUGO PETIT NARANJA X 1LT,/Bebidas/JUGOS/LISTOS PARA TOMAR/,219.99,219.99,https://www.hiperlibertad.com.ar/jugo-petit-naranja-x-1lt/p,58,452007
BAGUETIN SIN SAL TAEQ X 2 UN C/CPC,Baguetin sin sal Taeq x 2 un,/Almacén/Panificados/Elaboración Propia/,76.99,76.99,https://www.hiperlibertad.com.ar/baguetin-sin-sal-taeq-x-2-un/p,1000000,451901
Acondicionador Tío Nacho Reparación Profunda con Aloe Vera 415 ML,Acondicionador Tío Nacho Reparación Profunda con Aloe Vera 415 ML,/Perfumería/Cuidado Capilar/Acondicionadores/,768.99,768.99,https://www.hiperlibertad.com.ar/acondicionador-t-o-nacho-reparaci-n-profunda-con-aloe-vera-415-ml/p,20,451846
Alimento para Gato Whiskas Carne 3Kg,Alimento para Gato Whiskas Carne 3Kg,/Mascotas/ALIMENTOS/GATOS/,2199.49,1499.99,https://www.hiperlibertad.com.ar/alimento-para-gato-whiskas-carne-3kg/p,53,451825
Máscara Facial Nivea Urban Skin Shot Hidratante,"La Mascarilla NIVEA Urban Skin Shot Hidratante 10 Minutos enriquecida con 1/2 botella de serum*, ácido Hialurónico y Aloe Vera: proporciona a tu piel una hidratación intensa para reducir los signos de la resequedad, refresca y relaja la piel para una apariencia más fresca, suaviza la piel y le da un aspecto saludable. Para que tu piel se vea saludable, humectada y cuidada. *basado en un serum de 40ml. Beneficios Enriquecida con Serum",/Perfumería/Cuidado de la Piel/Cremas Faciales/,522.49,522.49,https://www.hiperlibertad.com.ar/mascara-facial-nivea-urban-skin-shot-hidratante/p,6,451814
Alimento para Perros Pet's Class  Húmedo Adulto Pollo 100Gr,Alimento para Perros Pet's Class Húmedo Adulto Pollo 100Gr,/Mascotas/ALIMENTOS/PERROS/,133.49,133.49,https://www.hiperlibertad.com.ar/alimento-para-perros-pet-s-class-h-medo-adulto-pollo-100gr/p,323,451810
Bocadito de chocolate relleno Bonafide 16 Gr,Bocadito de chocolate relleno Bonafide 16 Gr,/Almacén/Golosinas y Chocolates/Bombones/,75.99,53.1,https://www.hiperlibertad.com.ar/bocadito-de-chocolate-relleno-bonafide-16-gr/p,549,451320
BEBIDA ENERGIZANTE MONSTER MANGO LOCO 473 ML,BEBIDA ENERGIZANTE MONSTER MANGO LOCO 473 ML,/Bebidas/Isotónicas y Energizantes/Energizantes/,249.99,249.99,https://www.hiperlibertad.com.ar/bebida-energizante-monster-mango-loco-473-ml/p,305,450983
Maní Pelado King Salado 120 Gr,Maní Pelado King Salado 120 Gr,/Almacén/Snacks/Maní/,110.49,110.49,https://www.hiperlibertad.com.ar/man-pelado-king-salado-120-gr/p,559,450929
Cerveza rubia Heineken 710 Cc,Cerveza rubia Heineken 710 Cc,/Bebidas/CERVEZAS/RUBIA/,415.99,249.59,https://www.hiperlibertad.com.ar/cerveza-rubia-heineken-710-cc/p,207,450689
Cerveza Rubia Imperial Lager Lata 710 Cc C IMPERIAL L 710 CC,Cerveza Rubia Imperial Lager Lata 710 Cc,/Bebidas/CERVEZAS/RUBIA/,330.49,198.29,https://www.hiperlibertad.com.ar/cerveza-rubia-imperial-lager-lata-710-cc/p,281,450688
MILANESAS DE SOJA GRANJA DEL SOL RELLENAS DE ESPINACA Y QUESO X 380 Gr,MILANESAS DE SOJA GRANJA DEL SOL RELLENAS DE ESPINACA Y QUESO X 380 Gr,/CONGELADOS/Hamburguesas y milanesas/,500.49,500.49,https://www.hiperlibertad.com.ar/milanesas-de-soja-granja-del-sol-rellenas-de-espinaca-y-queso-x-380-gr/p,54,448442
TOALLA DONCELLA NOCTURNA X 8U,TOALLA DONCELLA NOCTURNA X 8U,/Perfumería/Protección Femenina/Toallitas/,99.38,99.38,https://www.hiperlibertad.com.ar/toalla-doncella-nocturna-x-8u/p,394,447545
Toallas Doncella ultrafina tela suave con alas 8 u.,Toallas Femeninas Doncella ultrafina tela suave con alas 8 u.,/Perfumería/Protección Femenina/Toallitas/,113.3,113.3,https://www.hiperlibertad.com.ar/toallas-doncella-ultrafina-tela-suave-con-alas-8-u/p,23,447544
Cerveza Imperial Apa Lata 473 mL,Cerveza Imperial Apa Lata 473 mL,/Bebidas/CERVEZAS/RUBIA/,258.49,258.49,https://www.hiperlibertad.com.ar/cerveza-imperial-apa-lata-473-ml/p,702,446502
Parasol lateral x 2 piezas negro Pit Stop PARASOL LATERAL 2PCS.,Parasol lateral x 2 piezas negro,/Vehículos/ACCESORIOS PARA AUTOMÓVILES/ACCESORIOS INTERIOR/,349.0,349.0,https://www.hiperlibertad.com.ar/parasol-lateral-x-2-piezas-negro-pit-stop/p,88,446345
CEPILLO DE DIENTES COLGATE ESENCIAL SUAVE 1 UN,CEPILLO DE DIENTES COLGATE ESENCIAL SUAVE 1 UN,/Perfumería/Cuidado Oral/Cepillos Dentales/,87.77,87.77,https://www.hiperlibertad.com.ar/cepillo-de-dientes-colgate-esencial-suave-1-un/p,229,445845
Formitas de Pollo Lucchetti Cong 350 grs,Formitas de Pollo Lucchetti Cong 350 grs,/CONGELADOS/Prefritos congelados/,398.99,398.99,https://www.hiperlibertad.com.ar/formitas-de-pollo-lucchetti-cong-350-grs/p,97,445765
